geo,name,time,Life expectancy 
africa,Africa,1800,30.09157507
africa,Africa,1801,30.01647876
africa,Africa,1802,30.01911666
africa,Africa,1803,30.09918755
africa,Africa,1804,30.10171999
africa,Africa,1805,30.10424997
africa,Africa,1806,30.10677768
africa,Africa,1807,30.10930315
africa,Africa,1808,30.11182667
africa,Africa,1809,30.11434824
africa,Africa,1810,30.11690153
africa,Africa,1811,30.11941531
africa,Africa,1812,30.12191294
africa,Africa,1813,30.12439384
africa,Africa,1814,30.12685283
africa,Africa,1815,30.12940717
africa,Africa,1816,30.13181891
africa,Africa,1817,30.13420584
africa,Africa,1818,29.89504081
africa,Africa,1819,29.85509506
africa,Africa,1820,29.90832299
africa,Africa,1821,30.1417081
africa,Africa,1822,30.14286949
africa,Africa,1823,30.14432772
africa,Africa,1824,30.14580107
africa,Africa,1825,30.14728908
africa,Africa,1826,30.14879104
africa,Africa,1827,30.15030589
africa,Africa,1828,29.89536991
africa,Africa,1829,29.74683529
africa,Africa,1830,29.59688319
africa,Africa,1831,29.75103229
africa,Africa,1832,30.16071776
africa,Africa,1833,30.16654026
africa,Africa,1834,30.16556688
africa,Africa,1835,29.89669874
africa,Africa,1836,29.74563611
africa,Africa,1837,29.58257213
africa,Africa,1838,29.74590563
africa,Africa,1839,30.16642175
africa,Africa,1840,30.1782055
africa,Africa,1841,30.17049526
africa,Africa,1842,30.17360892
africa,Africa,1843,30.18541855
africa,Africa,1844,30.17266554
africa,Africa,1845,30.18960117
africa,Africa,1846,30.20189411
africa,Africa,1847,30.21141073
africa,Africa,1848,30.22093087
africa,Africa,1849,29.8557793
africa,Africa,1850,29.72151093
africa,Africa,1851,30.11052383
africa,Africa,1852,30.33721226
africa,Africa,1853,30.3886631
africa,Africa,1854,30.3919688
africa,Africa,1855,30.49084705
africa,Africa,1856,30.51760221
africa,Africa,1857,30.61552982
africa,Africa,1858,30.66532404
africa,Africa,1859,30.71300936
africa,Africa,1860,30.76579553
africa,Africa,1861,30.82137926
africa,Africa,1862,30.85223261
africa,Africa,1863,30.92095302
africa,Africa,1864,30.39467533
africa,Africa,1865,30.29601179
africa,Africa,1866,30.20003012
africa,Africa,1867,30.84509067
africa,Africa,1868,30.41262767
africa,Africa,1869,30.83538473
africa,Africa,1870,31.1348866
africa,Africa,1871,31.3892905
africa,Africa,1872,31.44059152
africa,Africa,1873,31.47663933
africa,Africa,1874,31.54280964
africa,Africa,1875,31.61282699
africa,Africa,1876,31.66034536
africa,Africa,1877,31.70922746
africa,Africa,1878,31.77193837
africa,Africa,1879,31.81326263
africa,Africa,1880,31.47988327
africa,Africa,1881,31.38518327
africa,Africa,1882,31.97379442
africa,Africa,1883,32.0280223
africa,Africa,1884,32.09650364
